genome	number of scaffolds	taxonomy	completeness score	contamination score	5S rRNA	16S rRNA	23S rRNA	tRNA count	assembly quality
C04M3_subsampled_20Gb_Hybrid_bin.71	221	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus sp000403395	92.78	0.0	3 present		C04M3_subsampled_20Gb_Hybrid_bin.71_NODE_4879_length_15496_cov_6.589271 (2, 2409)	39	med
C04M3_subsampled_20Gb_Hybrid_bin.72	66	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TF01-11;s__	97.98	2.725		4 present	4 present	49	med
C04M3_subsampled_20Gb_Hybrid_bin.73	75	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp002362485	95.72	0.754				44	med
C04M3_subsampled_20Gb_Hybrid_bin.74	23	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp001689685	98.42	0.0	3 present	3 present	3 present	48	med
C04M3_subsampled_20Gb_Hybrid_bin.75	83	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__UBA7182 sp009774145	99.36	1.265	2 present	2 present	2 present	54	med
C04M3_subsampled_20Gb_Hybrid_bin.76	365	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS1370;s__UMGS1370 sp009774615	89.95	3.059				33	med
C04M3_subsampled_20Gb_Hybrid_bin.77	10	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__RACS-045;s__	94.85	0.223	2 present	2 present	2 present	45	med
C04M3_subsampled_20Gb_Hybrid_bin.78	96	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD42-69;s__1XD42-69 sp011959925	94.1	1.086				41	med
C04M3_subsampled_20Gb_Hybrid_bin.79	65	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__	97.01	1.42	C04M3_subsampled_20Gb_Hybrid_bin.79_NODE_5348_length_14205_cov_3.447044 (13831, 13933)			48	med
C04M3_subsampled_20Gb_Hybrid_bin.8	31	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__	93.68	2.011				50	med
C04M3_subsampled_20Gb_Hybrid_bin.80	246	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__	92.39	3.272		C04M3_subsampled_20Gb_Hybrid_bin.80_NODE_1965_length_34665_cov_7.097900 (32699, 34227)		47	med
C04M3_subsampled_20Gb_Hybrid_bin.81	44	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	98.41	1.476		4 present	4 present	59	med
C04M3_subsampled_20Gb_Hybrid_bin.82	48	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp009775355	96.1	0.88	2 present	3 present	2 present	56	med
C04M3_subsampled_20Gb_Hybrid_bin.83	236	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__	94.52	2.107				32	med
C04M3_subsampled_20Gb_Hybrid_bin.84	34	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	99.42	4.51		3 present	C04M3_subsampled_20Gb_Hybrid_bin.84_NODE_176_length_252021_cov_60.701499 (201337, 204232)	54	med
C04M3_subsampled_20Gb_Hybrid_bin.85	170	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	92.7	2.047				42	med
C04M3_subsampled_20Gb_Hybrid_bin.86	333	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__	77.35	2.373				29	med
C04M3_subsampled_20Gb_Hybrid_bin.87	4	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__Erysipelatoclostridium cocleatum	100.0	0.0	3 present	3 present	3 present	60	med
C04M3_subsampled_20Gb_Hybrid_bin.88	1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002428825	99.03	0.0	2 present	2 present	2 present	43	med
C04M3_subsampled_20Gb_Hybrid_bin.89	3	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__UBA11940 sp003979335	95.16	0.0	2 present	C04M3_subsampled_20Gb_Hybrid_bin.89_NODE_5_length_1727946_cov_64.211626 (991373, 992865)	2 present	66	med
C04M3_subsampled_20Gb_Hybrid_bin.9	38	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__	98.18	0.0		4 present	4 present	54	med
C04M3_subsampled_20Gb_Hybrid_bin.90	316	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__	70.29	7.088	C04M3_subsampled_20Gb_Hybrid_bin.90_NODE_10477_length_7636_cov_1.454956 (90, 197)			25	med
C04M3_subsampled_20Gb_bin.1	58	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	93.83	0.377	C04M3_subsampled_20Gb_bin.1_NODE_1009_length_54602_cov_4.735684 (196, 292)			45	med
C04M3_subsampled_20Gb_bin.10	322	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__	90.93	3.02	C04M3_subsampled_20Gb_bin.10_NODE_767_length_66352_cov_15.895205 (66239, 66345)			41	med
C04M3_subsampled_20Gb_bin.11	65	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__RACS-045;s__	94.85	0.223		C04M3_subsampled_20Gb_bin.11_NODE_1733_length_34906_cov_4.781481 (33355, 34862)		44	med
C04M3_subsampled_20Gb_bin.12	31	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	99.43	0.754				46	med
C04M3_subsampled_20Gb_bin.13	56	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp009775535	96.79	0.0				41	med
C04M3_subsampled_20Gb_bin.14	472	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__UMGS1872 sp014237695	80.31	2.969				21	med
C04M3_subsampled_20Gb_bin.15	42	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	99.05	0.754				45	med
C04M3_subsampled_20Gb_bin.16	204	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__;s__	95.16	0.026	2 present			55	med
C04M3_subsampled_20Gb_bin.17	56	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__UMGS268;s__	98.66	0.111	C04M3_subsampled_20Gb_bin.17_NODE_1534_length_38957_cov_27.155077 (38876, 38956)			40	med
C04M3_subsampled_20Gb_bin.18	216	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp009775355	95.72	0.88				49	med
C04M3_subsampled_20Gb_bin.19	59	d__Bacteria;p__Firmicutes_B;c__Dehalobacteriia;o__UBA4068;f__UBA5755;g__;s__	88.43	1.105	2 present			42	med
C04M3_subsampled_20Gb_bin.2	561	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__	83.64	2.428				37	med
C04M3_subsampled_20Gb_bin.20	147	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp009774375	96.8	1.508				54	med
C04M3_subsampled_20Gb_bin.21	494	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__Clostridium_Q sp009911305	72.87	4.804				45	med
C04M3_subsampled_20Gb_bin.22	127	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	96.43	2.49			C04M3_subsampled_20Gb_bin.22_NODE_289_length_114331_cov_9.449655 (2, 1124)	50	med
C04M3_subsampled_20Gb_bin.23	150	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__14-2 sp000403315	98.27	3.256		C04M3_subsampled_20Gb_bin.23_NODE_87_length_182845_cov_19.758118 (182429, 182845)		52	med
C04M3_subsampled_20Gb_bin.24	169	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__	97.58	2.274				49	med
C04M3_subsampled_20Gb_bin.25	163	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__UBA7182 sp009774145	98.1	1.265			C04M3_subsampled_20Gb_bin.25_NODE_3269_length_18612_cov_17.452277 (1, 1106)	58	med
C04M3_subsampled_20Gb_bin.26	103	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__	95.28	2.586				50	med
C04M3_subsampled_20Gb_bin.27	711	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3402;s__	81.64	2.867				38	med
C04M3_subsampled_20Gb_bin.28	198	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3402;s__	97.78	0.21				60	med
C04M3_subsampled_20Gb_bin.29	135	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella muris	99.05	2.641				57	med
C04M3_subsampled_20Gb_bin.3	152	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp002362485	97.21	1.132				46	med
C04M3_subsampled_20Gb_bin.30	649	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__	83.98	0.502				24	med
C04M3_subsampled_20Gb_bin.31	107	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp000403335	98.16	2.485				52	med
C04M3_subsampled_20Gb_bin.32	59	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp001689485	98.67	0.377	C04M3_subsampled_20Gb_bin.32_NODE_506_length_87433_cov_46.930772 (331, 423)			46	med
C04M3_subsampled_20Gb_bin.33	19	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__UBA7001;s__	78.23	2.46				40	med
C04M3_subsampled_20Gb_bin.34	36	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__	99.04	0.754				49	med
C04M3_subsampled_20Gb_bin.35	49	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__UBA11940 sp013316055	95.29	0.099	2 present		C04M3_subsampled_20Gb_bin.35_NODE_706_length_70956_cov_4.347305 (12, 1310)	38	med
C04M3_subsampled_20Gb_bin.36	61	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp001689685	97.67	0.0				40	med
C04M3_subsampled_20Gb_bin.37	305	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella;s__Parasutterella excrementihominis	98.73	0.0	3 present	C04M3_subsampled_20Gb_bin.37_NODE_12217_length_5070_cov_13.556427 (69, 1605)	C04M3_subsampled_20Gb_bin.37_NODE_12217_length_5070_cov_13.556427 (1958, 4839)	56	med
C04M3_subsampled_20Gb_bin.38	570	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	70.09	2.11				30	med
C04M3_subsampled_20Gb_bin.39	431	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1405;s__	87.8	1.364	3 present			43	med
C04M3_subsampled_20Gb_bin.4	76	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	98.41	1.476				55	med
C04M3_subsampled_20Gb_bin.40	211	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerosacchariphilus;s__	95.36	0.158				47	med
C04M3_subsampled_20Gb_bin.41	41	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum sp002492595	99.43	0.377				48	med
C04M3_subsampled_20Gb_bin.42	105	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	98.85	3.744		C04M3_subsampled_20Gb_bin.42_NODE_785_length_64854_cov_38.980681 (2, 481)		45	med
C04M3_subsampled_20Gb_bin.43	109	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	99.4	2.49				49	med
C04M3_subsampled_20Gb_bin.44	88	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__Erysipelatoclostridium cocleatum	100.0	0.0	C04M3_subsampled_20Gb_bin.44_NODE_661_length_73491_cov_8.267005 (2, 71)			52	med
C04M3_subsampled_20Gb_bin.45	593	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus sp000403395	76.9	0.0	3 present	C04M3_subsampled_20Gb_bin.45_NODE_13465_length_4634_cov_3.022051 (3690, 4634)	C04M3_subsampled_20Gb_bin.45_NODE_7672_length_7825_cov_2.854129 (3, 917)	26	med
C04M3_subsampled_20Gb_bin.46	41	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__RACS-045;s__	94.85	0.223				45	med
C04M3_subsampled_20Gb_bin.47	157	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TF01-11;s__	97.98	2.054				47	med
C04M3_subsampled_20Gb_bin.48	353	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp000403435	94.51	9.749				37	med
C04M3_subsampled_20Gb_bin.49	832	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__	75.6	6.431	C04M3_subsampled_20Gb_bin.49_NODE_25723_length_2579_cov_1.320565 (90, 197)			26	med
C04M3_subsampled_20Gb_bin.5	633	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__	87.5	1.455				35	med
C04M3_subsampled_20Gb_bin.50	73	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	97.54	0.377		C04M3_subsampled_20Gb_bin.50_NODE_161_length_148511_cov_21.638176 (1, 954)		52	med
C04M3_subsampled_20Gb_bin.51	7	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__UBA11940 sp003979335	95.16	0.0	2 present	C04M3_subsampled_20Gb_bin.51_NODE_7_length_455920_cov_71.413423 (453755, 455247)	C04M3_subsampled_20Gb_bin.51_NODE_7_length_455920_cov_71.413423 (1, 1974)	65	med
C04M3_subsampled_20Gb_bin.52	193	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__	95.97	1.342	C04M3_subsampled_20Gb_bin.52_NODE_750_length_67237_cov_3.168206 (1, 77)			31	med
C04M3_subsampled_20Gb_bin.53	105	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp002491305	98.49	0.377	C04M3_subsampled_20Gb_bin.53_NODE_6438_length_9287_cov_46.248476 (80, 175)		C04M3_subsampled_20Gb_bin.53_NODE_38086_length_1798_cov_13.143614 (2, 1177)	41	med
C04M3_subsampled_20Gb_bin.54	185	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__	95.53	0.335	C04M3_subsampled_20Gb_bin.54_NODE_5583_length_10729_cov_7.535278 (150, 256)			31	med
C04M3_subsampled_20Gb_bin.55	144	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__	95.84	0.566				42	med
C04M3_subsampled_20Gb_bin.56	257	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD42-69;s__1XD42-69 sp011959925	90.09	0.574				39	med
C04M3_subsampled_20Gb_bin.57	56	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__	98.27	1.34				51	med
C04M3_subsampled_20Gb_bin.58	270	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__;s__	88.63	0.63				19	med
C04M3_subsampled_20Gb_bin.59	279	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__ASTD01;s__	88.79	3.84				36	med
C04M3_subsampled_20Gb_bin.6	562	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	85.05	3.826				33	med
C04M3_subsampled_20Gb_bin.60	237	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__Eubacterium_J sp009774535	97.01	2.681				51	med
C04M3_subsampled_20Gb_bin.61	346	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__CAG-95 sp009911035	97.7	1.724		C04M3_subsampled_20Gb_bin.61_NODE_38694_length_1772_cov_181.001793 (36, 1547)	7 present	49	med
C04M3_subsampled_20Gb_bin.62	284	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__	81.49	3.104				32	med
C04M3_subsampled_20Gb_bin.63	450	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__	95.09	2.09	C04M3_subsampled_20Gb_bin.63_NODE_26537_length_2505_cov_3.409809 (2326, 2434)			43	med
C04M3_subsampled_20Gb_bin.64	139	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__Schaedlerella arabinosiphila	94.73	1.773				50	med
C04M3_subsampled_20Gb_bin.65	290	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__	91.25	0.284	2 present			41	med
C04M3_subsampled_20Gb_bin.66	691	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	81.94	4.203				28	med
C04M3_subsampled_20Gb_bin.67	84	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS1370;s__	99.36	0.632				50	med
C04M3_subsampled_20Gb_bin.68	577	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__	91.67	2.94				27	med
C04M3_subsampled_20Gb_bin.69	73	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__	98.18	0.0				49	med
C04M3_subsampled_20Gb_bin.7	44	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__	99.43	0.377				47	med
C04M3_subsampled_20Gb_bin.70	67	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	98.73	1.424				61	med
C04M3_subsampled_20Gb_bin.71	485	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Marseille-P3106;s__	72.47	1.901				14	med
C04M3_subsampled_20Gb_bin.72	513	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__;s__	80.53	0.606				32	med
C04M3_subsampled_20Gb_bin.73	167	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp000403215	96.81	2.873				56	med
C04M3_subsampled_20Gb_bin.74	10	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002428825	99.03	0.0				41	med
C04M3_subsampled_20Gb_bin.75	28	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	97.95	0.68	C04M3_subsampled_20Gb_bin.75_NODE_10651_length_5756_cov_181.071416 (71, 178)	C04M3_subsampled_20Gb_bin.75_NODE_10651_length_5756_cov_181.071416 (3808, 5316)	C04M3_subsampled_20Gb_bin.75_NODE_10651_length_5756_cov_181.071416 (422, 3252)	49	high
C04M3_subsampled_20Gb_bin.8	78	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerosacchariphilus;s__Anaerosacchariphilus sp011959465	96.83	0.632			C04M3_subsampled_20Gb_bin.8_NODE_2402_length_25176_cov_22.288950 (1, 990)	51	med
C04M3_subsampled_20Gb_bin.9	351	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__;s__	76.76	1.048		C04M3_subsampled_20Gb_bin.9_NODE_44799_length_1551_cov_1.666667 (1079, 1551)		26	med
C04M3_subsampled_40Gb_bin.1	49	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	94.21	0.377	C04M3_subsampled_40Gb_bin.1_NODE_1519_length_54624_cov_9.393783 (54311, 54407)			46	med
C04M3_subsampled_40Gb_bin.10	203	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__Clostridium_Q sp009911305	92.99	0.0				46	med
C04M3_subsampled_40Gb_bin.100	646	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	73.71	2.342				36	med
C04M3_subsampled_40Gb_bin.101	294	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA9475;s__	86.07	1.342	C04M3_subsampled_40Gb_bin.101_NODE_24621_length_3035_cov_4.080041 (2945, 3032)			35	med
C04M3_subsampled_40Gb_bin.102	100	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__ASTD01;s__	98.83	1.851				48	med
C04M3_subsampled_40Gb_bin.103	167	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__ASTD01;s__ASTD01 sp000403455	97.07	1.364				56	med
C04M3_subsampled_40Gb_bin.104	179	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3402;s__	93.11	1.793				42	med
C04M3_subsampled_40Gb_bin.105	116	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3402;s__	99.34	0.69				55	med
C04M3_subsampled_40Gb_bin.106	56	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__	95.3	0.671	C04M3_subsampled_40Gb_bin.106_NODE_1116_length_67563_cov_6.313456 (113, 220)			32	med
C04M3_subsampled_40Gb_bin.107	240	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__	85.64	2.348	C04M3_subsampled_40Gb_bin.107_NODE_16573_length_4570_cov_6.218296 (6, 95)			32	med
C04M3_subsampled_40Gb_bin.108	55	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp001689685	94.27	0.0				40	med
C04M3_subsampled_40Gb_bin.11	109	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	99.4	2.49		C04M3_subsampled_40Gb_bin.11_NODE_2713_length_34235_cov_10.482658 (2, 405)	C04M3_subsampled_40Gb_bin.11_NODE_652_length_92390_cov_15.460923 (328, 3238)	50	med
C04M3_subsampled_40Gb_bin.12	29	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__UBA11940 sp013316055	95.29	0.026	2 present			39	med
C04M3_subsampled_40Gb_bin.13	32	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__	79.6	0.377				40	med
C04M3_subsampled_40Gb_bin.14	27	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	97.95	0.68	C04M3_subsampled_40Gb_bin.14_NODE_13350_length_5756_cov_363.780626 (71, 178)	C04M3_subsampled_40Gb_bin.14_NODE_13350_length_5756_cov_363.780626 (3808, 5316)	C04M3_subsampled_40Gb_bin.14_NODE_13350_length_5756_cov_363.780626 (422, 3252)	49	high
C04M3_subsampled_40Gb_bin.15	523	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD42-69;s__	83.29	1.207				20	med
C04M3_subsampled_40Gb_bin.16	345	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__HGM13010;s__	82.18	1.23	C04M3_subsampled_40Gb_bin.16_NODE_7939_length_10654_cov_2.122596 (10280, 10390)			27	med
C04M3_subsampled_40Gb_bin.17	85	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp009774375	95.28	1.508				46	med
