genome	number of scaffolds	taxonomy	5S rRNA	16S rRNA	23S rRNA	tRNA count
bin_m14.mtb152_sub	59	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__;s__		bin_m14.mtb152_sub_m14_025858 (26506, 28016)	bin_m14.mtb152_sub_m14_075438 (8, 913)	44
bin_m14.mtb172	56	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__	bin_m14.mtb172_m14_136500 (131543, 131644)			39
bin_m14.mtb203	91	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-1031;s__	3 present			33
bin_m14.mtb42	128	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__				48
bin_m14.mtb44	271	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UBA1221;s__				23
bin_m14.mxb149	141	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__	2 present			40
bin_m14.mxb51	72	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	bin_m14.mxb51_m14_039294 (15167, 15262)	bin_m14.mxb51_m14_019477 (2652, 3151)	bin_m14.mxb51_m14_019477 (3, 2395)	35
bin_m14.vmb100	72	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__	bin_m14.vmb100_m14_020854 (508, 610)			42
bin_m14.vmb113	57	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	2 present	bin_m14.vmb113_m14_143968 (2, 1002)		21
bin_m14.vmb125	211	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA9475;s__	bin_m14.vmb125_m14_094689 (26, 134)			38
bin_m14.vmb146	351	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UMGS1815;s__				28
bin_m14.vmb151	34	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__		bin_m14.vmb151_m14_053850 (189005, 190534)	bin_m14.vmb151_m14_053850 (191074, 191910)	46
bin_m14.vmb15_sub	463	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__				19
bin_m14.vmb161	124	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__				40
bin_m14.vmb179	46	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA2866;s__	bin_m14.vmb179_m14_027130 (28049, 28125)			47
bin_m14.vmb180	49	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__;s__	bin_m14.vmb180_m14_004076 (82, 191)			42
bin_m14.vmb42	48	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UMGS1004;s__		bin_m14.vmb42_m14_066982 (2, 841)		28
bin_m14.vmb46	77	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	bin_m14.vmb46_m14_005737 (13, 117)			36
bin_m14.vmb57_sub	83	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__				30
bin_m14.vmb84	95	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella;s__Dubosiella sp000403415				36
bin_m15.cct109_sub	391	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__				47
bin_m15.cct143	816	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS1370;s__		bin_m15.cct143_m15_050924 (6381, 6833)		28
bin_m15.cct169	56	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__;s__	3 present		bin_m15.cct169_m15_082823 (2, 2046)	29
bin_m15.cct181	239	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__				48
bin_m15.mtb129	446	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania;s__				19
bin_m15.mtb130_sub	511	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__		bin_m15.mtb130_sub_m15_108953 (2, 414)	bin_m15.mtb130_sub_m15_131954 (5, 2446)	48
bin_m15.mtb150_sub	179	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella dubosii	4 present		bin_m15.mtb150_sub_m15_094647 (2, 1277)	56
bin_m15.mtb67	139	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__MD308;s__				39
bin_m15.mtb72	112	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp002358575		bin_m15.mtb72_m15_020819 (31802, 32384)		53
bin_m15.mtb98	257	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_D;s__				37
bin_m15.mtb99_sub	72	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA2866;s__	bin_m15.mtb99_sub_m15_016841 (613, 689)	bin_m15.mtb99_sub_m15_125747 (1, 439)		43
bin_m15.mxb29	17	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__UBA9783;g__UBA1183;s__		bin_m15.mxb29_m15_146277 (691873, 693400)	bin_m15.mxb29_m15_146277 (688598, 691497)	43
bin_m15.mxb64_sub	182	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__				39
bin_m15.mxb73_sub	102	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA2866;s__	3 present	2 present	bin_m15.mxb73_sub_m15_149133 (1317, 4392)	59
bin_m15.vmb109	68	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__				39
bin_m15.vmb121	63	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__				32
bin_m15.vmb122	51	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	bin_m15.vmb122_m15_041248 (13606, 13710)			35
bin_m15.vmb155	56	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__				25
bin_m15.vmb17	141	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__				34
bin_m15.vmb172	104	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__		bin_m15.vmb172_m15_074890 (2, 412)		47
bin_m15.vmb35	68	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA2866;s__	bin_m15.vmb35_m15_081224 (434, 510)	bin_m15.vmb35_m15_008322 (2, 1264)		44
bin_m16.mtb108_sub	604	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__		bin_m16.mtb108_sub_m16_079882 (1148, 1616)		39
bin_m16.mtb139	138	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__		bin_m16.mtb139_m16_035730 (14952, 15377)		45
bin_m16.mtb163_sub	150	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella;s__	bin_m16.mtb163_sub_m16_015678 (3351, 3455)			48
bin_m16.mtb186	55	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__	3 present			30
bin_m16.mtb190_sub	588	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__	2 present			41
bin_m16.mtb222	49	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	2 present			38
bin_m16.mtb225	36	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	2 present			35
bin_m16.mtb235_sub	388	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__				37
bin_m16.mtb29	35	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__	bin_m16.mtb29_m16_028886 (14, 121)	bin_m16.mtb29_m16_011804 (35, 1446)	bin_m16.mtb29_m16_007458 (2, 2334)	37
bin_m16.mtb39	27	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_D;s__		bin_m16.mtb39_m16_016173 (73, 1564)		33
bin_m16.mtb79	113	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	bin_m16.mtb79_m16_067099 (310, 418)			41
bin_m16.mxb12	42	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	2 present			33
bin_m16.mxb25	91	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__;s__	bin_m16.mxb25_m16_026072 (37309, 37419)			44
bin_m16.mxb27_sub	99	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__		bin_m16.mxb27_sub_m16_024571 (49391, 50645)		37
bin_m16.mxb47_sub	152	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__				44
bin_m16.mxb5	173	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	bin_m16.mxb5_m16_001974 (4004, 4115)	2 present	3 present	52
bin_m16.mxb60_sub	418	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__				36
bin_m16.vmb118	77	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__	2 present		bin_m16.vmb118_m16_059104 (226, 1665)	40
bin_m16.vmb148	78	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__				37
bin_m16.vmb70_sub	29	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	bin_m16.vmb70_sub_m16_039117 (40364, 40475)			24
bin_m16.vmb88	35	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UMGS1004;s__	bin_m16.vmb88_m16_139010 (222, 331)	bin_m16.vmb88_m16_008885 (31293, 32130)		41
bin_m16.vmb9	40	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum sp001689565	bin_m16.vmb9_m16_028379 (304714, 304815)			50
bin_m17.cct113	94	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__C-19;s__	bin_m17.cct113_m17_035275 (12357, 12464)	bin_m17.cct113_m17_035275 (7707, 9238)	bin_m17.cct113_m17_035275 (9420, 12303)	28
bin_m17.cct133	578	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__		bin_m17.cct133_m17_025681 (7283, 8786)	bin_m17.cct133_m17_025681 (9266, 12079)	31
bin_m17.cct135_sub	281	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__;g__;s__		bin_m17.cct135_sub_m17_025400 (3954, 5502)	2 present	25
bin_m17.cct95	64	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__RUG14156;g__RUG14156;s__				38
bin_m17.cct99	321	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	3 present			34
bin_m17.mtb117	186	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__				38
bin_m17.mtb142	60	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__RUG115;s__		bin_m17.mtb142_m17_014185 (1, 980)		37
bin_m17.mtb168	46	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__	bin_m17.mtb168_m17_039081 (224328, 224431)			53
bin_m17.mtb179_sub	99	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__;s__	bin_m17.mtb179_sub_m17_056176 (689, 798)	bin_m17.mtb179_sub_m17_043576 (1, 1056)	bin_m17.mtb179_sub_m17_065847 (1, 1553)	40
bin_m17.mtb206	51	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	4 present	bin_m17.mtb206_m17_031124 (25027, 25589)		42
bin_m17.mtb43	144	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerosacchariphilus;s__		bin_m17.mtb43_m17_098552 (15065, 15531)	bin_m17.mtb43_m17_001715 (5, 1592)	70
bin_m17.mtb85	310	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__;s__	bin_m17.mtb85_m17_000779 (867, 941)			33
bin_m17.mxb54	121	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TF01-11;s__		bin_m17.mxb54_m17_058336 (28946, 30445)		39
bin_m17.mxb8_sub	159	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	2 present	bin_m17.mxb8_sub_m17_027288 (1, 1256)	3 present	43
bin_m17.vmb109	18	d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__UBA710;s__		bin_m17.vmb109_m17_022468 (25714, 27226)	bin_m17.vmb109_m17_022468 (27562, 30438)	28
bin_m17.vmb122	94	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__UBA11963;s__	bin_m17.vmb122_m17_065288 (45853, 45929)	bin_m17.vmb122_m17_065288 (49160, 50704)	bin_m17.vmb122_m17_065288 (45984, 48899)	32
bin_m17.vmb141	97	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__	2 present			42
bin_m17.vmb17	102	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__				30
bin_m17.vmb18	116	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__				41
bin_m17.vmb56	108	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__;s__	bin_m17.vmb56_m17_059388 (11441, 11544)			39
bin_m17.vmb58	95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__				31
bin_m17.vmb79	167	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__				43
bin_m17.vmb99	22	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum sp001701195	2 present			42
bin_m18.cct126_sub	79	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-582;s__				37
bin_m18.cct36	247	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__				37
bin_m18.cct47	77	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__	2 present	bin_m18.cct47_m18_015528 (14481, 15033)		44
bin_m18.cct71_sub	437	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__				54
bin_m18.cct80	162	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rs-D84;f__Rs-D84;g__Rs-D84;s__				38
bin_m18.cct89_sub	111	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD42-69;s__				27
bin_m18.mtb115	299	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__;s__	bin_m18.mtb115_m18_058801 (582, 685)			23
bin_m18.mtb136	292	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella;s__				44
bin_m18.mtb158	51	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	2 present			43
bin_m18.mtb175	258	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__				53
bin_m18.mtb188	30	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__	bin_m18.mtb188_m18_043496 (15, 115)			46
bin_m18.mtb41	19	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__UBA7001;s__				35
bin_m18.mtb46_sub	367	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-776;s__				25
bin_m18.vmb13	20	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__;s__			bin_m18.vmb13_m18_022023 (2, 2030)	38
bin_m18.vmb14	30	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__RACS-045;s__				43
bin_m18.vmb18	364	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__NM07-P-09;s__NM07-P-09 sp004793665				38
bin_m18.vmb26	36	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	2 present			21
bin_m18.vmb41	22	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__				26
bin_m18.vmb49	122	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UBA11517;s__				30
bin_m19.cct34_sub	317	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__WRBN01;f__WRBN01;g__;s__				27
bin_m19.mtb113_sub	246	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__				40
bin_m19.mtb139_sub	926	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__Clostridium_Q symbiosum				23
bin_m19.mtb26	100	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__				36
bin_m19.mtb30_sub	238	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__;g__;s__				22
bin_m19.mtb38	63	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	2 present		2 present	37
bin_m19.mtb67	346	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__UBA7182 sp009774145				48
bin_m19.mxb14_sub	185	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__			bin_m19.mxb14_sub_m19_016487 (1, 2621)	60
bin_m19.mxb65	76	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__	2 present	bin_m19.mxb65_m19_023240 (32565, 33379)	bin_m19.mxb65_m19_070533 (1, 1750)	36
bin_m19.vmb107	68	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	2 present			37
bin_m19.vmb115	79	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	bin_m19.vmb115_m19_109050 (88, 197)			34
bin_m19.vmb88	53	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	bin_m19.vmb88_m19_116785 (215, 292)			36
bin_m2.cct144	191	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__;g__;s__	bin_m2.cct144_m2_025468 (2203, 2312)	bin_m2.cct144_m2_137605 (2827, 4327)	2 present	29
bin_m2.cct49	620	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-74;g__SFFH01;s__	4 present			40
bin_m2.cct78_sub	1106	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__				49
bin_m2.mtb108	47	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__				43
bin_m2.mtb15	329	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-465;g__CAG-465;s__				15
bin_m2.mtb163	59	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__UBA7001;s__	bin_m2.mtb163_m2_065699 (1692, 1803)	bin_m2.mtb163_m2_049573 (2961, 3854)	bin_m2.mtb163_m2_049573 (1, 2497)	36
bin_m2.mtb182	174	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__				47
bin_m2.mtb186	117	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3402;s__				47
bin_m2.mtb196_sub	568	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__				20
bin_m2.mtb5_sub	374	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__;s__	bin_m2.mtb5_sub_m2_034452 (1940, 2010)	bin_m2.mtb5_sub_m2_090087 (9854, 11374)	3 present	40
bin_m2.mtb80	500	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__AM07-15;s__	2 present			25
bin_m2.mxb36_sub	47	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__UBA11963;s__	2 present	2 present		40
bin_m2.mxb54	64	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA3700;g__RACS-045;s__			bin_m2.mxb54_m2_058614 (67035, 69530)	41
bin_m2.mxb83	91	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__				36
bin_m2.mxb88	34	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus murinus	7 present			59
bin_m2.mxb90_sub	212	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	2 present			52
bin_m2.vmb102	81	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__	2 present			39
bin_m2.vmb114	146	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__;s__	2 present			33
bin_m2.vmb73	81	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__				37
bin_m21.cct124_sub	55	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum sp001689565	bin_m21.cct124_sub_m21_066360 (161, 262)			46
bin_m21.cct75_sub	372	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UMGS1004;s__				21
bin_m21.mtb157_sub	60	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__;s__	bin_m21.mtb157_sub_m21_051663 (7984, 8092)			45
bin_m21.mtb170	5	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UBA11517;s__				39
bin_m21.mtb187	78	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__	bin_m21.mtb187_m21_053230 (17349, 17447)			48
bin_m21.mtb20	39	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UBA11517;s__	bin_m21.mtb20_m21_088383 (433, 530)	2 present	2 present	46
bin_m21.mtb45	29	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-917;g__CAG-475;s__	bin_m21.mtb45_m21_001604 (1116, 1225)	bin_m21.mtb45_m21_001604 (4614, 6126)	bin_m21.mtb45_m21_001604 (1342, 4243)	49
bin_m21.mtb53	79	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__				37
bin_m21.mtb57_sub	46	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-314;g__CAG-1435;s__	bin_m21.mtb57_sub_m21_104126 (49664, 49763)		bin_m21.mtb57_sub_m21_063209 (1, 1414)	45
bin_m21.mtb77_sub	651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__				26
bin_m21.mtb83	416	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__;s__	bin_m21.mtb83_m21_087206 (61, 170)			24
bin_m21.mxb124	548	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__	bin_m21.mxb124_m21_002308 (3153, 3262)			9
